metric,bin,left,right,count
negative,7,21.5047412240,24.5460262807,850
negative,8,24.5460262807,27.5873113375,655
negative,9,27.5873113375,30.6285963942,571
negative,10,30.6285963942,33.6698814509,526
negative,11,33.6698814509,36.7111665077,424
negative,12,36.7111665077,39.7524515644,368
negative,13,39.7524515644,42.7937366211,293
negative,14,42.7937366211,45.8350216779,290
negative,15,45.8350216779,48.8763067346,233
negative,16,48.8763067346,51.9175917913,216
negative,17,51.9175917913,54.9588768481,197
negative,18,54.9588768481,58.0001619048,159
negative,19,58.0001619048,61.0414469615,132
negative,20,61.0414469615,64.0827320183,127
negative,21,64.0827320183,67.1240170750,110
negative,22,67.1240170750,70.1653021317,96
negative,23,70.1653021317,73.2065871885,97
negative,24,73.2065871885,76.2478722452,85
negative,25,76.2478722452,79.2891573019,71
negative,26,79.2891573019,82.3304423587,60
negative,27,82.3304423587,85.3717274154,53
negative,28,85.3717274154,88.4130124721,42
negative,29,88.4130124721,91.4542975289,49
negative,30,91.4542975289,94.4955825856,45
negative,31,94.4955825856,97.5368676423,29
negative,32,97.5368676423,100.5781526991,39
negative,33,100.5781526991,103.6194377558,23
negative,34,103.6194377558,106.6607228125,25
negative,35,106.6607228125,109.7020078693,10
negative,36,109.7020078693,112.7432929260,18
negative,37,112.7432929260,115.7845779827,12
negative,38,115.7845779827,118.8258630395,13
negative,39,118.8258630395,121.8671480962,9
negative,40,121.8671480962,124.9084331529,14
negative,41,124.9084331529,127.9497182097,14
negative,42,127.9497182097,130.9910032664,11
negative,43,130.9910032664,134.0322883231,11
negative,44,134.0322883231,137.0735733799,15
negative,45,137.0735733799,140.1148584366,5
negative,46,140.1148584366,143.1561434933,7
negative,47,143.1561434933,146.1974285501,4
negative,48,146.1974285501,149.2387136068,3
negative,49,149.2387136068,152.2799986636,5
negative,50,152.2799986636,155.3212837203,4
negative,51,155.3212837203,158.3625687770,1
negative,52,158.3625687770,161.4038538338,2
negative,53,161.4038538338,164.4451388905,5
negative,54,164.4451388905,167.4864239472,3
negative,55,167.4864239472,170.5277090040,0
negative,56,170.5277090040,173.5689940607,5
negative,57,173.5689940607,176.6102791174,2
negative,58,176.6102791174,179.6515641742,1
negative,59,179.6515641742,182.6928492309,1
negative,60,182.6928492309,185.7341342876,1
negative,61,185.7341342876,188.7754193444,1
negative,62,188.7754193444,191.8167044011,1
negative,63,191.8167044011,194.8579894578,0
negative,64,194.8579894578,197.8992745146,1
negative,65,197.8992745146,200.9405595713,0
negative,66,200.9405595713,203.9818446280,0
negative,67,203.9818446280,207.0231296848,0
negative,68,207.0231296848,210.0644147415,0
negative,69,210.0644147415,213.1056997982,1
net,0,-205.8497690496,-202.3830983474,1
net,1,-202.3830983474,-198.9164276452,0
net,2,-198.9164276452,-195.4497569431,0
net,3,-195.4497569431,-191.9830862409,0
net,4,-191.9830862409,-188.5164155387,0
net,5,-188.5164155387,-185.0497448366,0
net,6,-185.0497448366,-181.5830741344,1
net,7,-181.5830741344,-178.1164034322,0
net,8,-178.1164034322,-174.6497327301,2
net,9,-174.6497327301,-171.1830620279,1
net,10,-171.1830620279,-167.7163913257,2
net,11,-167.7163913257,-164.2497206236,2
net,12,-164.2497206236,-160.7830499214,2
net,13,-160.7830499214,-157.3163792192,3
net,14,-157.3163792192,-153.8497085171,2
net,15,-153.8497085171,-150.3830378149,6
net,16,-150.3830378149,-146.9163671127,2
net,17,-146.9163671127,-143.4496964106,2
net,18,-143.4496964106,-139.9830257084,2
net,19,-139.9830257084,-136.5163550062,3
net,20,-136.5163550062,-133.0496843041,7
net,21,-133.0496843041,-129.5830136019,9
net,22,-129.5830136019,-126.1163428998,10
net,23,-126.1163428998,-122.6496721976,10
net,24,-122.6496721976,-119.1830014954,14
net,25,-119.1830014954,-115.7163307933,15
net,26,-115.7163307933,-112.2496600911,11
net,27,-112.2496600911,-108.7829893889,10
net,28,-108.7829893889,-105.3163186868,16
net,29,-105.3163186868,-101.8496479846,12
net,30,-101.8496479846,-98.3829772824,25
net,31,-98.3829772824,-94.9163065803,28
net,32,-94.9163065803,-91.4496358781,24
net,33,-91.4496358781,-87.9829651759,30
net,34,-87.9829651759,-84.5162944738,47
net,35,-84.5162944738,-81.0496237716,39
