metric,bin,left,right,count
negative,38,119.9965637048,123.1480077642,16
negative,39,123.1480077642,126.2994518235,16
negative,40,126.2994518235,129.4508958828,10
negative,41,129.4508958828,132.6023399422,9
negative,42,132.6023399422,135.7537840015,13
negative,43,135.7537840015,138.9052280608,9
negative,44,138.9052280608,142.0566721201,7
negative,45,142.0566721201,145.2081161795,2
negative,46,145.2081161795,148.3595602388,6
negative,47,148.3595602388,151.5110042981,6
negative,48,151.5110042981,154.6624483575,3
negative,49,154.6624483575,157.8138924168,8
negative,50,157.8138924168,160.9653364761,2
negative,51,160.9653364761,164.1167805355,0
negative,52,164.1167805355,167.2682245948,4
negative,53,167.2682245948,170.4196686541,4
negative,54,170.4196686541,173.5711127135,1
negative,55,173.5711127135,176.7225567728,3
negative,56,176.7225567728,179.8740008321,1
negative,57,179.8740008321,183.0254448915,2
negative,58,183.0254448915,186.1768889508,0
negative,59,186.1768889508,189.3283330101,0
negative,60,189.3283330101,192.4797770695,0
negative,61,192.4797770695,195.6312211288,1
negative,62,195.6312211288,198.7826651881,1
negative,63,198.7826651881,201.9341092475,1
negative,64,201.9341092475,205.0855533068,0
negative,65,205.0855533068,208.2369973661,0
negative,66,208.2369973661,211.3884414254,0
negative,67,211.3884414254,214.5398854848,0
negative,68,214.5398854848,217.6913295441,0
negative,69,217.6913295441,220.8427736034,1
net,0,-216.3584159854,-212.7148565249,1
net,1,-212.7148565249,-209.0712970644,0
net,2,-209.0712970644,-205.4277376040,0
net,3,-205.4277376040,-201.7841781435,0
net,4,-201.7841781435,-198.1406186830,0
net,5,-198.1406186830,-194.4970592225,0
net,6,-194.4970592225,-190.8534997620,0
net,7,-190.8534997620,-187.2099403015,1
net,8,-187.2099403015,-183.5663808410,2
net,9,-183.5663808410,-179.9228213805,0
net,10,-179.9228213805,-176.2792619200,1
net,11,-176.2792619200,-172.6357024595,0
net,12,-172.6357024595,-168.9921429990,0
net,13,-168.9921429990,-165.3485835385,3
net,14,-165.3485835385,-161.7050240780,2
net,15,-161.7050240780,-158.0614646175,5
net,16,-158.0614646175,-154.4179051571,1
net,17,-154.4179051571,-150.7743456966,2
net,18,-150.7743456966,-147.1307862361,5
net,19,-147.1307862361,-143.4872267756,3
net,20,-143.4872267756,-139.8436673151,7
net,21,-139.8436673151,-136.2001078546,1
net,22,-136.2001078546,-132.5565483941,5
net,23,-132.5565483941,-128.9129889336,10
net,24,-128.9129889336,-125.2694294731,13
net,25,-125.2694294731,-121.6258700126,10
net,26,-121.6258700126,-117.9823105521,11
net,27,-117.9823105521,-114.3387510916,14
net,28,-114.3387510916,-110.6951916311,14
net,29,-110.6951916311,-107.0516321706,22
net,30,-107.0516321706,-103.4080727102,19
net,31,-103.4080727102,-99.7645132497,8
net,32,-99.7645132497,-96.1209537892,21
net,33,-96.1209537892,-92.4773943287,27
net,34,-92.4773943287,-88.8338348682,31
net,35,-88.8338348682,-85.1902754077,28
net,36,-85.1902754077,-81.5467159472,40
net,37,-81.5467159472,-77.9031564867,41
net,38,-77.9031564867,-74.2595970262,46
net,39,-74.2595970262,-70.6160375657,50
net,40,-70.6160375657,-66.9724781052,70
net,41,-66.9724781052,-63.3289186447,65
net,42,-63.3289186447,-59.6853591842,92
net,43,-59.6853591842,-56.0417997237,86
net,44,-56.0417997237,-52.3982402632,107
net,45,-52.3982402632,-48.7546808028,110
net,46,-48.7546808028,-45.1111213423,161
net,47,-45.1111213423,-41.4675618818,179
net,48,-41.4675618818,-37.8240024213,197
net,49,-37.8240024213,-34.1804429608,230
net,50,-34.1804429608,-30.5368835003,270
net,51,-30.5368835003,-26.8933240398,348
net,52,-26.8933240398,-23.2497645793,405
net,53,-23.2497645793,-19.6062051188,487
net,54,-19.6062051188,-15.9626456583,628
net,55,-15.9626456583,-12.3190861978,742
net,56,-12.3190861978,-8.6755267373,1053
net,57,-8.6755267373,-5.0319672768,1331
net,58,-5.0319672768,-1.3884078163,1890
net,59,-1.3884078163,2.2551516441,2554
net,60,2.2551516441,5.8987111046,2845
net,61,5.8987111046,9.5422705651,2164
net,62,9.5422705651,13.1858300256,1498
net,63,13.1858300256,16.8293894861,988
net,64,16.8293894861,20.4729489466,598
net,65,20.4729489466,24.1165084071,256
net,66,24.1165084071,27.7600678676,128
net,67,27.7600678676,31.4036273281,52
net,68,31.4036273281,35.0471867886,17
net,69,35.0471867886,38.6907462491,5
acute,0,0.2103350274,3.3530825136,4812
acute,1,3.3530825136,6.4958299997,3708
acute,2,6.4958299997,9.6385774858,2373
acute,3,9.6385774858,12.7813249720,1742
acute,4,12.7813249720,15.9240724581,1294
acute,5,15.9240724581,19.0668199442,1001
acute,6,19.0668199442,22.2095674303,828
acute,7,22.2095674303,25.3523149165,577
acute,8,25.3523149165,28.4950624026,517
acute,9,28.4950624026,31.6378098887,431
acute,10,31.6378098887,34.7805573748,366
acute,11,34.7805573748,37.9233048610,305
acute,12,37.9233048610,41.0660523471,233
acute,13,41.0660523471,44.2087998332,212
acute,14,44.2087998332,47.3515473194,162
acute,15,47.3515473194,50.4942948055,158
acute,16,50.4942948055,53.6370422916,143
acute,17,53.6370422916,56.7797897777,131
acute,18,56.7797897777,59.9225372639,120
acute,19,59.9225372639,63.0652847500,104
acute,20,63.0652847500,66.2080322361,75
acute,21,66.2080322361,69.3507797223,69
acute,22,69.3507797223,72.4935272084,73
acute,23,72.4935272084,75.6362746945,56
acute,24,75.6362746945,78.7790221806,74
acute,25,78.7790221806,81.9217696668,41
acute,26,81.9217696668,85.0645171529,33
acute,27,85.0645171529,88.2072646390,52
acute,28,88.2072646390,91.3500121251,27
acute,29,91.3500121251,94.4927596113,28
acute,30,94.4927596113,97.6355070974,24
acute,31,97.6355070974,100.7782545835,26
acute,32,100.7782545835,103.9210020697,20
acute,33,103.9210020697,107.0637495558,16
acute,34,107.0637495558,110.2064970419,16
acute,35,110.2064970419,113.3492445280,17
acute,36,113.3492445280,116.4919920142,13
acute,37,116.4919920142,119.6347395003,13
acute,38,119.6347395003,122.7774869864,6
acute,39,122.7774869864,125.9202344725,19
acute,40,125.9202344725,129.0629819587,8
acute,41,129.0629819587,132.2057294448,7
acute,42,132.2057294448,135.3484769309,15
acute,43,135.3484769309,138.4912244171,7
acute,44,138.4912244171,141.6339719032,3
acute,45,141.6339719032,144.7767193893,2
acute,46,144.7767193893,147.9194668754,6
acute,47,147.9194668754,151.0622143616,10
acute,48,151.0622143616,154.2049618477,3
acute,49,154.2049618477,157.3477093338,6
acute,50,157.3477093338,160.4904568199,3
acute,51,160.4904568199,163.6332043061,2
acute,52,163.6332043061,166.7759517922,2
acute,53,166.7759517922,169.9186992783,1
acute,54,169.9186992783,173.0614467645,1
acute,55,173.0614467645,176.2041942506,2
acute,56,176.2041942506,179.3469417367,2
acute,57,179.3469417367,182.4896892228,2
acute,58,182.4896892228,185.6324367090,0
acute,59,185.6324367090,188.7751841951,0
acute,60,188.7751841951,191.9179316812,0
acute,61,191.9179316812,195.0606791673,0
acute,62,195.0606791673,198.2034266535,0
acute,63,198.2034266535,201.3461741396,2
acute,64,201.3461741396,204.4889216257,0
acute,65,204.4889216257,207.6316691119,0
acute,66,207.6316691119,210.7744165980,0
acute,67,210.7744165980,213.9171640841,0
acute,68,213.9171640841,217.0599115702,0
acute,69,217.0599115702,220.2026590564,1
