# Summary of Summaries

This file aggregates p01..p99 percentile outputs across major runs.

Runs included: baseline, no_drink_and_drive, no_binge, abstinence, baseline_seed_301, baseline_seed_302, baseline_seed_303, baseline_seed_304, baseline_seed_305, baseline_daily_mode

## Positive utilons
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
| p95 | 56.6379 | 30.6364 | 56.9366 | 0.0000 | 56.0111 | 55.6010 | 57.0462 | 56.9542 | 56.8174 | 53.6136 |
| p99 | 97.7985 | 52.5013 | 101.2753 | 0.0000 | 97.6700 | 96.4616 | 99.1270 | 100.3975 | 102.6848 | 90.6201 |

## Negative breakdown: hangover
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
|---|---|---|---|---|---|---|---|---|---|---|
| p01 | 0.0079 | 0.0079 | 0.0000 | 0.0000 | 0.0079 | 0.0079 | 0.0079 | 0.0078 | 0.0080 | 0.0057 |
| p05 | 0.0157 | 0.0156 | 0.0000 | 0.0000 | 0.0157 | 0.0158 | 0.0156 | 0.0156 | 0.0157 | 0.0143 |
| p10 | 0.0250 | 0.0247 | 0.0000 | 0.0000 | 0.0249 | 0.0250 | 0.0246 | 0.0248 | 0.0249 | 0.0232 |
| p25 | 0.0497 | 0.0494 | 0.0000 | 0.0000 | 0.0494 | 0.0493 | 0.0484 | 0.0493 | 0.0493 | 0.0479 |
| p50 | 0.1084 | 0.1083 | 0.0000 | 0.0000 | 0.1074 | 0.1086 | 0.1072 | 0.1064 | 0.1067 | 0.1126 |
| p75 | 0.2351 | 0.2370 | 0.0000 | 0.0000 | 0.2325 | 0.2490 | 0.2448 | 0.2305 | 0.2250 | 0.2572 |
| p90 | 0.5035 | 0.5024 | 0.0000 | 0.0000 | 0.4977 | 0.5099 | 0.5090 | 0.4985 | 0.5018 | 0.5341 |
| p95 | 0.6860 | 0.6810 | 0.0000 | 0.0000 | 0.6758 | 0.6954 | 0.6872 | 0.6789 | 0.6797 | 0.7488 |
| p99 | 1.3040 | 1.3025 | 0.0000 | 0.0000 | 1.2978 | 1.3008 | 1.3030 | 1.2913 | 1.2927 | 1.3138 |

## Negative breakdown: chronic health proxies
| percentile | baseline | no_drink_and_drive | no_binge | abstinence | baseline_seed_301 | baseline_seed_302 | baseline_seed_303 | baseline_seed_304 | baseline_seed_305 | baseline_daily_mode |
|---|---|---|---|---|---|---|---|---|---|---|
| p01 | 0.0171 | 0.0164 | 0.0171 | 0.0000 | 0.0168 | 0.0170 | 0.0172 | 0.0169 | 0.0166 | 0.0103 |
| p05 | 0.0276 | 0.0275 | 0.0275 | 0.0000 | 0.0282 | 0.0280 | 0.0282 | 0.0275 | 0.0280 | 0.0328 |
| p10 | 0.0367 | 0.0367 | 0.0366 | 0.0000 | 0.0374 | 0.0373 | 0.0367 | 0.0368 | 0.0369 | 0.0478 |
