metric,bin,left,right,count
net,11,-58.8646518514,-57.8669458878,0
net,12,-57.8669458878,-56.8692399243,1
net,13,-56.8692399243,-55.8715339607,0
net,14,-55.8715339607,-54.8738279971,0
net,15,-54.8738279971,-53.8761220335,3
net,16,-53.8761220335,-52.8784160699,0
net,17,-52.8784160699,-51.8807101063,0
net,18,-51.8807101063,-50.8830041428,0
net,19,-50.8830041428,-49.8852981792,0
net,20,-49.8852981792,-48.8875922156,0
net,21,-48.8875922156,-47.8898862520,0
net,22,-47.8898862520,-46.8921802884,0
net,23,-46.8921802884,-45.8944743248,3
net,24,-45.8944743248,-44.8967683613,2
net,25,-44.8967683613,-43.8990623977,2
net,26,-43.8990623977,-42.9013564341,2
net,27,-42.9013564341,-41.9036504705,0
net,28,-41.9036504705,-40.9059445069,2
net,29,-40.9059445069,-39.9082385433,2
net,30,-39.9082385433,-38.9105325798,4
net,31,-38.9105325798,-37.9128266162,3
net,32,-37.9128266162,-36.9151206526,3
net,33,-36.9151206526,-35.9174146890,3
net,34,-35.9174146890,-34.9197087254,0
net,35,-34.9197087254,-33.9220027618,4
net,36,-33.9220027618,-32.9242967983,5
net,37,-32.9242967983,-31.9265908347,5
net,38,-31.9265908347,-30.9288848711,3
net,39,-30.9288848711,-29.9311789075,6
net,40,-29.9311789075,-28.9334729439,7
net,41,-28.9334729439,-27.9357669803,9
net,42,-27.9357669803,-26.9380610168,14
net,43,-26.9380610168,-25.9403550532,11
net,44,-25.9403550532,-24.9426490896,15
net,45,-24.9426490896,-23.9449431260,18
net,46,-23.9449431260,-22.9472371624,17
net,47,-22.9472371624,-21.9495311988,20
net,48,-21.9495311988,-20.9518252353,13
net,49,-20.9518252353,-19.9541192717,15
net,50,-19.9541192717,-18.9564133081,31
net,51,-18.9564133081,-17.9587073445,24
net,52,-17.9587073445,-16.9610013809,37
net,53,-16.9610013809,-15.9632954173,31
net,54,-15.9632954173,-14.9655894538,55
net,55,-14.9655894538,-13.9678834902,50
net,56,-13.9678834902,-12.9701775266,70
net,57,-12.9701775266,-11.9724715630,67
net,58,-11.9724715630,-10.9747655994,84
net,59,-10.9747655994,-9.9770596358,119
net,60,-9.9770596358,-8.9793536723,110
net,61,-8.9793536723,-7.9816477087,141
net,62,-7.9816477087,-6.9839417451,190
net,63,-6.9839417451,-5.9862357815,224
net,64,-5.9862357815,-4.9885298179,303
net,65,-4.9885298179,-3.9908238543,331
net,66,-3.9908238543,-2.9931178908,474
net,67,-2.9931178908,-1.9954119272,619
net,68,-1.9954119272,-0.9977059636,937
net,69,-0.9977059636,0.0000000000,15910
acute,0,0.0000000000,0.0000000000,20000
acute,1,0.0000000000,0.0000000000,0
acute,2,0.0000000000,0.0000000000,0
acute,3,0.0000000000,0.0000000000,0
acute,4,0.0000000000,0.0000000000,0
acute,5,0.0000000000,0.0000000000,0
acute,6,0.0000000000,0.0000000000,0
acute,7,0.0000000000,0.0000000000,0
acute,8,0.0000000000,0.0000000000,0
acute,9,0.0000000000,0.0000000000,0
acute,10,0.0000000000,0.0000000000,0
acute,11,0.0000000000,0.0000000000,0
acute,12,0.0000000000,0.0000000000,0
acute,13,0.0000000000,0.0000000000,0
acute,14,0.0000000000,0.0000000000,0
acute,15,0.0000000000,0.0000000000,0
acute,16,0.0000000000,0.0000000000,0
acute,17,0.0000000000,0.0000000000,0
acute,18,0.0000000000,0.0000000000,0
acute,19,0.0000000000,0.0000000000,0
acute,20,0.0000000000,0.0000000000,0
acute,21,0.0000000000,0.0000000000,0
acute,22,0.0000000000,0.0000000000,0
acute,23,0.0000000000,0.0000000000,0
acute,24,0.0000000000,0.0000000000,0
acute,25,0.0000000000,0.0000000000,0
acute,26,0.0000000000,0.0000000000,0
acute,27,0.0000000000,0.0000000000,0
acute,28,0.0000000000,0.0000000000,0
acute,29,0.0000000000,0.0000000000,0
acute,30,0.0000000000,0.0000000000,0
acute,31,0.0000000000,0.0000000000,0
acute,32,0.0000000000,0.0000000000,0
acute,33,0.0000000000,0.0000000000,0
acute,34,0.0000000000,0.0000000000,0
acute,35,0.0000000000,0.0000000000,0
acute,36,0.0000000000,0.0000000000,0
acute,37,0.0000000000,0.0000000000,0
acute,38,0.0000000000,0.0000000000,0
acute,39,0.0000000000,0.0000000000,0
acute,40,0.0000000000,0.0000000000,0
acute,41,0.0000000000,0.0000000000,0
acute,42,0.0000000000,0.0000000000,0
acute,43,0.0000000000,0.0000000000,0
acute,44,0.0000000000,0.0000000000,0
acute,45,0.0000000000,0.0000000000,0
acute,46,0.0000000000,0.0000000000,0
acute,47,0.0000000000,0.0000000000,0
