metric,bin,left,right,count
positive,56,33.0797654211,33.6443153925,10
positive,57,33.6443153925,34.2088653638,14
positive,58,34.2088653638,34.7734153352,8
positive,59,34.7734153352,35.3379653065,5
positive,60,35.3379653065,35.9025152779,5
positive,61,35.9025152779,36.4670652492,3
positive,62,36.4670652492,37.0316152206,4
positive,63,37.0316152206,37.5961651919,8
positive,64,37.5961651919,38.1607151633,2
positive,65,38.1607151633,38.7252651346,0
positive,66,38.7252651346,39.2898151060,5
positive,67,39.2898151060,39.8543650773,2
positive,68,39.8543650773,40.4189150487,3
positive,69,40.4189150487,40.9834650200,1
negative,0,0.1643103121,2.2560387502,3322
negative,1,2.2560387502,4.3477671884,3221
negative,2,4.3477671884,6.4394956266,2372
negative,3,6.4394956266,8.5312240648,1832
negative,4,8.5312240648,10.6229525029,1410
negative,5,10.6229525029,12.7146809411,1198
negative,6,12.7146809411,14.8064093793,995
negative,7,14.8064093793,16.8981378175,799
negative,8,16.8981378175,18.9898662556,701
negative,9,18.9898662556,21.0815946938,588
negative,10,21.0815946938,23.1733231320,464
negative,11,23.1733231320,25.2650515702,383
negative,12,25.2650515702,27.3567800083,375
negative,13,27.3567800083,29.4485084465,333
negative,14,29.4485084465,31.5402368847,238
negative,15,31.5402368847,33.6319653229,201
negative,16,33.6319653229,35.7236937610,232
negative,17,35.7236937610,37.8154221992,178
negative,18,37.8154221992,39.9071506374,158
negative,19,39.9071506374,41.9988790756,140
negative,20,41.9988790756,44.0906075137,111
negative,21,44.0906075137,46.1823359519,96
negative,22,46.1823359519,48.2740643901,65
negative,23,48.2740643901,50.3657928282,73
negative,24,50.3657928282,52.4575212664,73
negative,25,52.4575212664,54.5492497046,53
negative,26,54.5492497046,56.6409781428,53
negative,27,56.6409781428,58.7327065809,42
negative,28,58.7327065809,60.8244350191,43
negative,29,60.8244350191,62.9161634573,28
negative,30,62.9161634573,65.0078918955,26
negative,31,65.0078918955,67.0996203336,27
negative,32,67.0996203336,69.1913487718,30
negative,33,69.1913487718,71.2830772100,19
negative,34,71.2830772100,73.3748056482,17
negative,35,73.3748056482,75.4665340863,24
negative,36,75.4665340863,77.5582625245,12
negative,37,77.5582625245,79.6499909627,11
negative,38,79.6499909627,81.7417194009,13
negative,39,81.7417194009,83.8334478390,5
negative,40,83.8334478390,85.9251762772,7
negative,41,85.9251762772,88.0169047154,5
negative,42,88.0169047154,90.1086331536,2
negative,43,90.1086331536,92.2003615917,1
negative,44,92.2003615917,94.2920900299,7
negative,45,94.2920900299,96.3838184681,2
negative,46,96.3838184681,98.4755469063,1
negative,47,98.4755469063,100.5672753444,2
negative,48,100.5672753444,102.6590037826,3
negative,49,102.6590037826,104.7507322208,2
negative,50,104.7507322208,106.8424606590,0
negative,51,106.8424606590,108.9341890971,1
negative,52,108.9341890971,111.0259175353,2
negative,53,111.0259175353,113.1176459735,0
negative,54,113.1176459735,115.2093744116,1
negative,55,115.2093744116,117.3011028498,0
negative,56,117.3011028498,119.3928312880,1
negative,57,119.3928312880,121.4845597262,0
negative,58,121.4845597262,123.5762881643,0
negative,59,123.5762881643,125.6680166025,0
negative,60,125.6680166025,127.7597450407,0
negative,61,127.7597450407,129.8514734789,0
negative,62,129.8514734789,131.9432019170,0
negative,63,131.9432019170,134.0349303552,0
negative,64,134.0349303552,136.1266587934,0
negative,65,136.1266587934,138.2183872316,0
negative,66,138.2183872316,140.3101156697,0
negative,67,140.3101156697,142.4018441079,0
negative,68,142.4018441079,144.4935725461,1
negative,69,144.4935725461,146.5853009843,1
net,0,-139.1313353954,-136.5929518667,1
net,1,-136.5929518667,-134.0545683380,0
net,2,-134.0545683380,-131.5161848093,0
net,3,-131.5161848093,-128.9778012807,1
net,4,-128.9778012807,-126.4394177520,0
net,5,-126.4394177520,-123.9010342233,0
net,6,-123.9010342233,-121.3626506946,0
net,7,-121.3626506946,-118.8242671659,0
net,8,-118.8242671659,-116.2858836372,0
net,9,-116.2858836372,-113.7475001085,0
net,10,-113.7475001085,-111.2091165798,0
net,11,-111.2091165798,-108.6707330511,0
net,12,-108.6707330511,-106.1323495224,0
net,13,-106.1323495224,-103.5939659937,1
net,14,-103.5939659937,-101.0555824650,1
net,15,-101.0555824650,-98.5171989363,0
net,16,-98.5171989363,-95.9788154076,2
net,17,-95.9788154076,-93.4404318790,3
net,18,-93.4404318790,-90.9020483503,0
net,19,-90.9020483503,-88.3636648216,5
net,20,-88.3636648216,-85.8252812929,2
net,21,-85.8252812929,-83.2868977642,2
net,22,-83.2868977642,-80.7485142355,2
net,23,-80.7485142355,-78.2101307068,7
net,24,-78.2101307068,-75.6717471781,6
net,25,-75.6717471781,-73.1333636494,8
net,26,-73.1333636494,-70.5949801207,5
net,27,-70.5949801207,-68.0565965920,9
net,28,-68.0565965920,-65.5182130633,18
net,29,-65.5182130633,-62.9798295346,19
net,30,-62.9798295346,-60.4414460059,19
net,31,-60.4414460059,-57.9030624773,26
net,32,-57.9030624773,-55.3646789486,38
net,33,-55.3646789486,-52.8262954199,39
net,34,-52.8262954199,-50.2879118912,49
net,35,-50.2879118912,-47.7495283625,51
net,36,-47.7495283625,-45.2111448338,55
net,37,-45.2111448338,-42.6727613051,59
net,38,-42.6727613051,-40.1343777764,76
net,39,-40.1343777764,-37.5959942477,82
net,40,-37.5959942477,-35.0576107190,98
net,41,-35.0576107190,-32.5192271903,131
net,42,-32.5192271903,-29.9808436616,155
net,43,-29.9808436616,-27.4424601329,189
net,44,-27.4424601329,-24.9040766042,207
net,45,-24.9040766042,-22.3656930755,243
net,46,-22.3656930755,-19.8273095469,314
net,47,-19.8273095469,-17.2889260182,370
net,48,-17.2889260182,-14.7505424895,385
net,49,-14.7505424895,-12.2121589608,535
net,50,-12.2121589608,-9.6737754321,649
net,51,-9.6737754321,-7.1353919034,782
net,52,-7.1353919034,-4.5970083747,995
net,53,-4.5970083747,-2.0586248460,1200
net,54,-2.0586248460,0.4797586827,1624
net,55,0.4797586827,3.0181422114,2162
net,56,3.0181422114,5.5565257401,2220
net,57,5.5565257401,8.0949092688,1933
net,58,8.0949092688,10.6332927975,1527
net,59,10.6332927975,13.1716763262,1165
net,60,13.1716763262,15.7100598548,927
net,61,15.7100598548,18.2484433835,643
net,62,18.2484433835,20.7868269122,457
net,63,20.7868269122,23.3252104409,214
net,64,23.3252104409,25.8635939696,143
net,65,25.8635939696,28.4019774983,70
net,66,28.4019774983,30.9403610270,42
net,67,30.9403610270,33.4787445557,20
net,68,33.4787445557,36.0171280844,10
net,69,36.0171280844,38.5555116131,4
acute,0,0.1162733523,1.5204239266,3833
acute,1,1.5204239266,2.9245745010,3305
acute,2,2.9245745010,4.3287250753,2372
acute,3,4.3287250753,5.7328756497,1713
acute,4,5.7328756497,7.1370262240,1388
acute,5,7.1370262240,8.5411767983,1088
acute,6,8.5411767983,9.9453273727,844
acute,7,9.9453273727,11.3494779470,703
acute,8,11.3494779470,12.7536285213,557
acute,9,12.7536285213,14.1577790957,519
acute,10,14.1577790957,15.5619296700,412
acute,11,15.5619296700,16.9660802444,391
acute,12,16.9660802444,18.3702308187,351
acute,13,18.3702308187,19.7743813930,280
acute,14,19.7743813930,21.1785319674,244
acute,15,21.1785319674,22.5826825417,171
acute,16,22.5826825417,23.9868331160,197
acute,17,23.9868331160,25.3909836904,168
acute,18,25.3909836904,26.7951342647,142
acute,19,26.7951342647,28.1992848391,130
acute,20,28.1992848391,29.6034354134,127
acute,21,29.6034354134,31.0075859877,92
acute,22,31.0075859877,32.4117365621,75
acute,23,32.4117365621,33.8158871364,100
acute,24,33.8158871364,35.2200377107,88
acute,25,35.2200377107,36.6241882851,70
acute,26,36.6241882851,38.0283388594,75
acute,27,38.0283388594,39.4324894338,63
acute,28,39.4324894338,40.8366400081,48
acute,29,40.8366400081,42.2407905824,54
acute,30,42.2407905824,43.6449411568,40
acute,31,43.6449411568,45.0490917311,37
acute,32,45.0490917311,46.4532423054,30
acute,33,46.4532423054,47.8573928798,24
acute,34,47.8573928798,49.2615434541,21
acute,35,49.2615434541,50.6656940284,23
acute,36,50.6656940284,52.0698446028,16
acute,37,52.0698446028,53.4739951771,27
acute,38,53.4739951771,54.8781457515,14
acute,39,54.8781457515,56.2822963258,15
acute,40,56.2822963258,57.6864469001,18
acute,41,57.6864469001,59.0905974745,10
acute,42,59.0905974745,60.4947480488,10
acute,43,60.4947480488,61.8988986231,15
acute,44,61.8988986231,63.3030491975,3
acute,45,63.3030491975,64.7071997718,9
acute,46,64.7071997718,66.1113503462,9
acute,47,66.1113503462,67.5155009205,18
acute,48,67.5155009205,68.9196514948,7
acute,49,68.9196514948,70.3238020692,11
acute,50,70.3238020692,71.7279526435,3
acute,51,71.7279526435,73.1321032178,3
acute,52,73.1321032178,74.5362537922,6
acute,53,74.5362537922,75.9404043665,1
acute,54,75.9404043665,77.3445549409,5
acute,55,77.3445549409,78.7487055152,2
acute,56,78.7487055152,80.1528560895,6
acute,57,80.1528560895,81.5570066639,2
acute,58,81.5570066639,82.9611572382,4
acute,59,82.9611572382,84.3653078125,0
acute,60,84.3653078125,85.7694583869,3
acute,61,85.7694583869,87.1736089612,2
acute,62,87.1736089612,88.5777595355,0
acute,63,88.5777595355,89.9819101099,3
acute,64,89.9819101099,91.3860606842,1
acute,65,91.3860606842,92.7902112586,1
acute,66,92.7902112586,94.1943618329,0
acute,67,94.1943618329,95.5985124072,0
acute,68,95.5985124072,97.0026629816,0
acute,69,97.0026629816,98.4068135559,1
hangover,0,0.0064754056,0.0264156062,2353
hangover,1,0.0264156062,0.0463558067,2236
hangover,2,0.0463558067,0.0662960073,2464
hangover,3,0.0662960073,0.0862362078,1030
hangover,4,0.0862362078,0.1061764083,1730
hangover,5,0.1061764083,0.1261166089,1115
hangover,6,0.1261166089,0.1460568094,914
hangover,7,0.1460568094,0.1659970100,709
hangover,8,0.1659970100,0.1859372105,1053
hangover,9,0.1859372105,0.2058774110,642
hangover,10,0.2058774110,0.2258176116,644
hangover,11,0.2258176116,0.2457578121,176
hangover,12,0.2457578121,0.2656980127,502
hangover,13,0.2656980127,0.2856382132,176
hangover,14,0.2856382132,0.3055784138,136
hangover,15,0.3055784138,0.3255186143,266
hangover,16,0.3255186143,0.3454588148,413
hangover,17,0.3454588148,0.3653990154,456
hangover,18,0.3653990154,0.3853392159,387
hangover,19,0.3853392159,0.4052794165,84
hangover,20,0.4052794165,0.4252196170,60
hangover,21,0.4252196170,0.4451598175,171
hangover,22,0.4451598175,0.4651000181,80
hangover,23,0.4651000181,0.4850402186,37
hangover,24,0.4850402186,0.5049804192,207
hangover,25,0.5049804192,0.5249206197,295
hangover,26,0.5249206197,0.5448608202,115
hangover,27,0.5448608202,0.5648010208,8
hangover,28,0.5648010208,0.5847412213,0
hangover,29,0.5847412213,0.6046814219,0
hangover,30,0.6046814219,0.6246216224,23
hangover,31,0.6246216224,0.6445618229,122
hangover,32,0.6445618229,0.6645020235,239
hangover,33,0.6645020235,0.6844422240,177
hangover,34,0.6844422240,0.7043824246,71
hangover,35,0.7043824246,0.7243226251,85
hangover,36,0.7243226251,0.7442628257,114
hangover,37,0.7442628257,0.7642030262,69
hangover,38,0.7642030262,0.7841432267,16
hangover,39,0.7841432267,0.8040834273,1
hangover,40,0.8040834273,0.8240236278,0
hangover,41,0.8240236278,0.8439638284,0
hangover,42,0.8439638284,0.8639040289,0
hangover,43,0.8639040289,0.8838442294,0
hangover,44,0.8838442294,0.9037844300,0
hangover,45,0.9037844300,0.9237246305,0
hangover,46,0.9237246305,0.9436648311,3
hangover,47,0.9436648311,0.9636050316,6
hangover,48,0.9636050316,0.9835452321,20
hangover,49,0.9835452321,1.0034854327,38
hangover,50,1.0034854327,1.0234256332,95
hangover,51,1.0234256332,1.0433658338,75
hangover,52,1.0433658338,1.0633060343,50
hangover,53,1.0633060343,1.0832462348,20
hangover,54,1.0832462348,1.1031864354,4
hangover,55,1.1031864354,1.1231266359,2
hangover,56,1.1231266359,1.1430668365,0
hangover,57,1.1430668365,1.1630070370,0
hangover,58,1.1630070370,1.1829472376,0
hangover,59,1.1829472376,1.2028874381,0
hangover,60,1.2028874381,1.2228276386,2
hangover,61,1.2228276386,1.2427678392,4
hangover,62,1.2427678392,1.2627080397,18
hangover,63,1.2627080397,1.2826482403,34
hangover,64,1.2826482403,1.3025884408,53
hangover,65,1.3025884408,1.3225286413,59
hangover,66,1.3225286413,1.3424688419,56
hangover,67,1.3424688419,1.3624090424,51
hangover,68,1.3624090424,1.3823492430,23
hangover,69,1.3823492430,1.4022894435,11
chronic,0,0.0067231035,0.0199726679,390
chronic,1,0.0199726679,0.0332222323,1214
chronic,2,0.0332222323,0.0464717967,1610
chronic,3,0.0464717967,0.0597213612,1827
chronic,4,0.0597213612,0.0729709256,1745
chronic,5,0.0729709256,0.0862204900,1566
chronic,6,0.0862204900,0.0994700544,1389
chronic,7,0.0994700544,0.1127196188,1137
chronic,8,0.1127196188,0.1259691833,1011
chronic,9,0.1259691833,0.1392187477,869
chronic,10,0.1392187477,0.1524683121,794
chronic,11,0.1524683121,0.1657178765,749
chronic,12,0.1657178765,0.1789674409,594
chronic,13,0.1789674409,0.1922170054,507
chronic,14,0.1922170054,0.2054665698,432
chronic,15,0.2054665698,0.2187161342,407
chronic,16,0.2187161342,0.2319656986,371
chronic,17,0.2319656986,0.2452152630,308
chronic,18,0.2452152630,0.2584648275,307
chronic,19,0.2584648275,0.2717143919,267
chronic,20,0.2717143919,0.2849639563,231
chronic,21,0.2849639563,0.2982135207,213
chronic,22,0.2982135207,0.3114630851,198
chronic,23,0.3114630851,0.3247126496,169
chronic,24,0.3247126496,0.3379622140,150
chronic,25,0.3379622140,0.3512117784,148
chronic,26,0.3512117784,0.3644613428,155
chronic,27,0.3644613428,0.3777109072,115
chronic,28,0.3777109072,0.3909604717,106
chronic,29,0.3909604717,0.4042100361,102
chronic,30,0.4042100361,0.4174596005,97
chronic,31,0.4174596005,0.4307091649,92
chronic,32,0.4307091649,0.4439587294,74
chronic,33,0.4439587294,0.4572082938,77
chronic,34,0.4572082938,0.4704578582,64
chronic,35,0.4704578582,0.4837074226,43
chronic,36,0.4837074226,0.4969569870,52
chronic,37,0.4969569870,0.5102065515,38
chronic,38,0.5102065515,0.5234561159,31
chronic,39,0.5234561159,0.5367056803,33
chronic,40,0.5367056803,0.5499552447,31
chronic,41,0.5499552447,0.5632048091,30
chronic,42,0.5632048091,0.5764543736,23
chronic,43,0.5764543736,0.5897039380,34
chronic,44,0.5897039380,0.6029535024,18
chronic,45,0.6029535024,0.6162030668,21
chronic,46,0.6162030668,0.6294526312,19
chronic,47,0.6294526312,0.6427021957,12
chronic,48,0.6427021957,0.6559517601,12
chronic,49,0.6559517601,0.6692013245,14
chronic,50,0.6692013245,0.6824508889,12
chronic,51,0.6824508889,0.6957004533,15
chronic,52,0.6957004533,0.7089500178,6
chronic,53,0.7089500178,0.7221995822,13
chronic,54,0.7221995822,0.7354491466,10
chronic,55,0.7354491466,0.7486987110,5
chronic,56,0.7486987110,0.7619482754,4
chronic,57,0.7619482754,0.7751978399,5
chronic,58,0.7751978399,0.7884474043,9
chronic,59,0.7884474043,0.8016969687,7
chronic,60,0.8016969687,0.8149465331,2
chronic,61,0.8149465331,0.8281960975,5
chronic,62,0.8281960975,0.8414456620,4
chronic,63,0.8414456620,0.8546952264,3
chronic,64,0.8546952264,0.8679447908,2
chronic,65,0.8679447908,0.8811943552,0
chronic,66,0.8811943552,0.8944439196,0
chronic,67,0.8944439196,0.9076934841,0
chronic,68,0.9076934841,0.9209430485,1
chronic,69,0.9209430485,0.9341926129,1
aud,0,0.0000000000,1.1798029552,13211
aud,1,1.1798029552,2.3596059104,971
aud,2,2.3596059104,3.5394088656,853
aud,3,3.5394088656,4.7192118208,682
aud,4,4.7192118208,5.8990147760,552
aud,5,5.8990147760,7.0788177312,495
aud,6,7.0788177312,8.2586206863,404
aud,7,8.2586206863,9.4384236415,357
aud,8,9.4384236415,10.6182265967,273
aud,9,10.6182265967,11.7980295519,254
aud,10,11.7980295519,12.9778325071,221
aud,11,12.9778325071,14.1576354623,195
aud,12,14.1576354623,15.3374384175,158
aud,13,15.3374384175,16.5172413727,154
aud,14,16.5172413727,17.6970443279,132
aud,15,17.6970443279,18.8768472831,120
aud,16,18.8768472831,20.0566502383,105
aud,17,20.0566502383,21.2364531935,99
aud,18,21.2364531935,22.4162561487,83
aud,19,22.4162561487,23.5960591038,62
aud,20,23.5960591038,24.7758620590,74
aud,21,24.7758620590,25.9556650142,78
aud,22,25.9556650142,27.1354679694,64
aud,23,27.1354679694,28.3152709246,45
aud,24,28.3152709246,29.4950738798,30
aud,25,29.4950738798,30.6748768350,41
aud,26,30.6748768350,31.8546797902,31
aud,27,31.8546797902,33.0344827454,25
aud,28,33.0344827454,34.2142857006,24
aud,29,34.2142857006,35.3940886558,19
aud,30,35.3940886558,36.5738916110,13
aud,31,36.5738916110,37.7536945662,23
aud,32,37.7536945662,38.9334975213,13
aud,33,38.9334975213,40.1133004765,14
aud,34,40.1133004765,41.2931034317,17
aud,35,41.2931034317,42.4729063869,15
aud,36,42.4729063869,43.6527093421,12
aud,37,43.6527093421,44.8325122973,12
aud,38,44.8325122973,46.0123152525,10
aud,39,46.0123152525,47.1921182077,7
aud,40,47.1921182077,48.3719211629,7
aud,41,48.3719211629,49.5517241181,5
aud,42,49.5517241181,50.7315270733,6
aud,43,50.7315270733,51.9113300285,1
aud,44,51.9113300285,53.0911329837,6
aud,45,53.0911329837,54.2709359388,2
aud,46,54.2709359388,55.4507388940,3
aud,47,55.4507388940,56.6305418492,2
aud,48,56.6305418492,57.8103448044,1
aud,49,57.8103448044,58.9901477596,1
aud,50,58.9901477596,60.1699507148,1
aud,51,60.1699507148,61.3497536700,5
aud,52,61.3497536700,62.5295566252,2
aud,53,62.5295566252,63.7093595804,4
aud,54,63.7093595804,64.8891625356,0
aud,55,64.8891625356,66.0689654908,2
aud,56,66.0689654908,67.2487684460,1
aud,57,67.2487684460,68.4285714012,0
aud,58,68.4285714012,69.6083743563,0
aud,59,69.6083743563,70.7881773115,1
aud,60,70.7881773115,71.9679802667,0
aud,61,71.9679802667,73.1477832219,1
aud,62,73.1477832219,74.3275861771,0
aud,63,74.3275861771,75.5073891323,0
aud,64,75.5073891323,76.6871920875,0
aud,65,76.6871920875,77.8669950427,0
aud,66,77.8669950427,79.0467979979,0
aud,67,79.0467979979,80.2266009531,0
aud,68,80.2266009531,81.4064039083,0
aud,69,81.4064039083,82.5862068635,1
ihd,0,-0.2003207547,-0.1974590296,29
ihd,1,-0.1974590296,-0.1945973046,0
ihd,2,-0.1945973046,-0.1917355795,0
ihd,3,-0.1917355795,-0.1888738544,0
ihd,4,-0.1888738544,-0.1860121294,0
ihd,5,-0.1860121294,-0.1831504043,0
